"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,33.8481971522654,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,7.44271635640236,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-6.72970115411071,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-18.3444745595579,,
"SPASTT01","Share prices","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,37.4044531121942,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.21595111754302,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.506309393986597,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.81353173680539,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.28658305428623,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.48567508675653,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.00015749271597,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.60580560487915,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.896565286860077,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.891592367302709,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.08126858275521,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.99838187702262,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.53089553422702,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,1.38190954773872,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.76666666666667,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.46042314003671,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-3.76457952675873,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.83709425563513,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.92279910265689,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.68044437828821,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.0255055153541079,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.661276219116527,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.01450260545533,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUT","Austria","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.98943667732656,,
